1,31,Dong Da,Bac Tu Liem,0,The house is spacious with 3 bedrooms + 1 kitchen and 3 bathroom.
2,43,Xuan Tao,Bac Tu Liem,0,Villa house has 1 ground and 2 floor.
3,43,Nguyen Ba Khoan,cau Giay,0,The house is very convenient because it's near the center of the city for you to travel and hang out.
4,43,Hoang Dieu,Ba Dinh,0,The house has 1 garage + 2 bedrooms + 3 bathrooms + 1 living room and 1 kitchen.
5,31,Quang Trung,Go Vap,2,The house has 1 basement + 3 bedrooms + 3 bathrooms + 1 living room and 2 kitchens.
6,23,Cao Thang,Hai Chau,2,The house has 1 small backyard+ 2 bedrooms + 3 bathroom + 1 living room and 1 kitchen.
7,7,Nguyen Hue,1,1,The house is quite small but it's near the center of the city and the walking street.
8,23,Nguyen Tat Thanh,Thanh Khe,2,The house has has 1 garage + 3 bedrooms + 3 bathroom + 1 living room and 1 kitchen.
9,32,Nguyen Kiem,Phu Nhuan,1,The house has 1 small yard+ 2 bedrooms + 3 bathroom + 1 living room and 1 kitchen.
10,15,Nguyen Luong Bang,Lien Chieu,2,The house has 2 garages + 1 small backyard+ 2 bedrooms + 3 bathroom + 1 living room and 1 kitchen.
11,31,Le Van Luong,7,0,House with 2 bed rooms
